,OverallQual,YearBuilt,YearRemodAdd,TotalBsmtSF,1stFlrSF,GrLivArea,FullBath,TotRmsAbvGrd,GarageCars,GarageArea,SalePrice
518,7,1996,1997,1264,1277,2344,2,7,3,889,265000
519,6,1998,1998,794,882,1796,2,7,2,546,211000
520,7,1926,2004,1276,1276,2080,1,9,1,282,234000
522,6,1957,1957,1244,1244,1244,1,6,1,336,150000
523,6,1947,1950,1004,1004,1664,2,7,2,420,159000
524,10,2007,2008,3138,3138,4676,3,11,3,884,184750
525,7,1996,1997,1379,1383,2398,2,8,3,834,315750
526,7,2005,2005,1257,1266,1266,2,6,2,453,176000
527,5,1956,2000,928,928,928,1,4,1,252,132000
528,9,2008,2008,1452,1476,2713,2,11,3,858,446261
531,6,1988,1989,1461,1509,1509,2,5,2,600,175000
532,6,1920,1999,611,751,1362,2,6,2,502,128000
535,8,2004,2004,707,707,1414,2,6,2,403,178000
537,7,1998,1999,880,880,1724,2,8,2,527,188000
538,4,1972,1972,864,864,864,1,5,2,576,111250
539,5,1968,1968,1051,1159,1159,1,7,1,336,158000
540,8,2001,2002,1581,1601,1601,2,6,2,670,272000
541,9,2006,2006,1838,1838,1838,2,8,3,765,315000
542,8,2000,2000,969,997,2285,2,8,3,648,248000
543,7,1998,1999,1650,1680,1680,2,7,2,583,213250
544,7,1998,1998,723,767,767,1,4,1,367,133000
545,7,2006,2006,654,664,1496,2,7,2,426,179665
546,7,1988,1988,1204,1377,2183,2,9,3,786,229000
547,6,1923,1950,1065,915,1635,1,6,2,440,210000
548,5,1970,1970,768,768,768,1,5,2,624,129500
549,5,1955,1995,825,825,825,1,4,2,720,125000
550,7,2003,2004,912,912,2094,2,8,2,615,263000
551,6,1977,1977,1069,1069,1069,2,4,2,440,140000
552,5,1957,1957,928,928,928,1,5,1,288,112500
553,8,2006,2006,1709,1717,1717,2,7,3,908,255500
555,7,2003,2004,998,1006,2046,2,8,3,871,284000
556,5,1922,1950,993,1048,1048,1,5,1,280,113000
557,5,1957,1957,1092,1092,1092,1,6,1,299,141000
558,4,1920,1950,637,897,1336,1,7,1,570,108000
559,7,1996,1997,729,729,1446,2,6,2,406,175000
560,7,2003,2004,1374,1557,1557,2,7,2,420,234000
561,5,1957,1996,1392,1392,1392,1,5,2,528,121500
562,5,1974,1975,1389,1389,1389,1,6,2,418,170000
564,6,1918,1950,1163,1163,1674,2,8,2,396,185000
565,7,1992,2000,1095,1166,2295,2,9,2,590,268000
566,6,1915,1950,806,841,1647,1,6,1,216,128000
567,9,2005,2007,1122,1134,2504,2,11,3,656,325000
568,7,2004,2004,1517,1535,1535,2,7,2,532,214000
569,8,1983,2009,1496,1496,2132,1,5,2,612,316600
570,5,1979,1979,943,943,943,1,4,2,600,135960
571,5,1965,1965,1728,1728,1728,2,10,2,576,142600
572,6,1959,1959,864,864,864,1,4,1,288,120000
573,7,2009,2009,846,846,1692,2,6,2,650,224500
574,7,2000,2000,384,774,1430,2,8,2,400,170000
575,5,1971,2005,372,576,1109,1,5,1,288,139000
576,5,1947,1950,832,832,1216,1,6,1,336,118500
577,7,1928,1950,861,877,1477,2,6,1,216,145000
578,5,1966,1966,1164,1320,1320,1,6,2,564,164500
579,7,2007,2007,689,703,1392,2,5,2,540,146000
580,5,1954,1954,1050,1050,1795,2,7,1,352,131500
581,6,1960,1987,1144,1429,1429,1,7,2,572,181900
582,8,2008,2009,2042,2042,2042,2,8,3,1390,253293
584,10,1893,2000,1237,1521,2775,3,9,2,880,325000
585,4,1935,1995,884,989,1573,1,6,1,240,133000
586,8,2005,2006,1868,2028,2028,2,7,3,880,369900
587,6,1918,2000,816,838,838,1,5,1,275,130000
588,5,1982,1982,840,860,860,1,4,2,528,137000
589,5,1968,2003,1437,1473,1473,1,5,1,452,143000
590,5,1930,1960,742,779,935,1,4,1,308,79500
591,7,2004,2004,770,770,1582,2,6,2,520,185900
592,10,2008,2008,1722,1728,2296,2,10,3,842,451950
593,5,1982,2003,816,816,816,1,4,2,816,138000
594,6,2003,2003,848,848,848,1,4,2,420,140000
595,5,1975,1975,924,924,924,1,5,1,280,110000
596,8,2005,2006,1814,1826,1826,2,7,3,758,319000
597,6,1910,1993,684,684,1368,1,7,1,216,114504
598,7,2006,2007,1258,1402,1402,0,7,3,648,194201
599,5,1977,1977,1430,1647,1647,2,7,2,621,217500
600,6,1980,1980,716,716,1556,2,6,2,452,151000
601,8,2005,2005,1058,1058,1904,2,8,2,736,275000
602,6,1937,1950,780,780,1375,1,6,1,544,141000
603,8,1992,1992,908,927,1915,2,8,2,506,220000
604,7,2004,2005,600,600,1200,2,4,2,480,151000
605,7,2002,2002,1494,1494,1494,2,6,2,530,221000
606,7,1965,1990,768,1186,1986,2,7,2,486,205000
607,5,1996,1996,1040,1040,1040,1,6,2,576,152000
608,5,1948,2002,896,1112,2008,3,8,1,230,225000
609,8,1934,1998,965,1940,3194,2,10,2,380,359100
610,4,1961,1961,1029,1029,1029,1,5,1,261,118500
611,9,2000,2000,1440,1476,2153,2,8,3,736,313000
612,6,1978,1978,1032,1032,1032,2,6,2,564,148000
613,8,2001,2001,1299,1299,1872,2,7,2,531,261500
616,6,1963,1963,936,1054,1054,1,6,2,480,137500
617,6,2002,2003,783,807,1509,2,7,2,393,183200
618,6,1954,1954,832,832,832,1,4,2,528,105500
619,9,2007,2007,1822,1828,1828,2,9,3,774,314813
620,8,2003,2003,1482,1482,2262,2,10,3,749,305000
622,6,1974,1997,1522,1548,2614,2,9,2,624,240000
623,5,1977,1977,980,980,980,1,6,2,484,135000
624,6,2000,2000,756,756,1512,2,4,2,440,168500
625,6,1972,1972,732,1012,1790,1,8,2,484,165150
626,6,1962,1962,1116,1116,1116,1,5,2,440,160000
627,5,1960,1978,978,1422,1422,1,6,1,286,139900
628,6,1955,1972,1156,1520,1520,1,7,1,364,153000
629,5,1969,1969,1040,1040,2080,1,9,2,504,135000
630,6,1964,1964,1248,1350,1350,1,6,2,520,168500
631,5,1880,1991,636,1089,1750,1,8,1,240,124000
632,8,2006,2006,1554,1554,1554,2,6,2,627,209500
633,7,1977,1977,1386,1411,1411,2,6,2,544,82500
634,5,1954,2005,1056,1056,1056,1,6,1,260,139400
635,6,1980,1980,1056,1056,1056,0,4,2,576,144000
638,5,1954,1954,811,811,1387,2,7,1,256,93000
640,8,2006,2006,1520,1567,1567,2,7,3,648,264561
641,8,2003,2004,1518,1518,1518,1,6,2,588,274000
642,7,2001,2001,1057,1057,1929,2,7,2,650,226000
643,8,1972,1995,1952,2000,2704,2,9,2,538,345000
644,5,1969,1969,780,780,1620,2,7,2,462,152000
645,9,2009,2009,1766,1766,1766,2,7,3,478,370878
646,6,1971,1971,981,981,981,1,5,2,576,143250
648,6,1953,1953,1094,1094,1094,1,5,2,495,155000
649,6,1966,1966,756,1051,1839,1,7,2,442,155000
652,4,1940,1950,755,755,1510,1,7,1,296,108000
653,7,1996,1996,880,909,1716,2,7,2,512,191000
654,6,1906,1995,756,756,1469,1,7,1,216,135000
655,8,1995,1995,2109,2113,2113,2,7,3,839,350000
656,6,1971,1971,525,525,1092,1,6,1,264,88000
657,5,1959,2006,1053,1053,1053,1,5,1,312,145500
658,7,1931,2000,776,851,1502,1,6,1,270,149000
659,6,1948,1950,912,912,1458,1,6,1,330,97500
660,5,1964,1999,1486,1486,1486,1,7,2,480,167000
661,7,1976,1976,793,1142,1935,2,7,2,550,197900
662,8,1994,2005,1629,1686,2448,2,8,3,711,402000
663,6,1968,1968,1392,1392,1392,1,5,2,576,110000
664,4,1972,1972,1138,1181,1181,2,6,2,588,137500
665,8,2005,2006,2077,2097,2097,1,8,3,1134,423000
666,8,2000,2000,1406,1454,1936,2,7,2,504,230500
667,6,1965,1979,1021,1465,2380,2,7,2,596,129000
668,6,1994,1998,1408,1679,1679,2,7,2,575,193500
669,5,1956,1987,1188,1437,1437,1,6,2,576,168000
670,4,1922,1950,700,1180,1180,1,5,1,252,137500
671,6,2005,2005,738,738,1476,2,7,2,540,173500
672,6,1925,1950,672,697,1369,2,6,1,300,103600
673,6,1977,1977,1208,1208,1208,1,6,2,546,165000
674,6,1957,2004,1477,1839,1839,2,7,2,416,257500
675,6,1965,1965,1136,1136,1136,1,5,1,384,140000
676,6,1978,1978,855,855,1441,2,7,2,440,148500
677,4,1900,1950,1095,1095,1774,2,8,3,779,87000
678,5,1924,2006,768,792,792,1,5,1,240,109500
679,8,2008,2008,2046,2046,2046,2,7,3,834,372500
680,5,1961,1961,988,988,988,1,5,2,572,128500
681,6,1980,1980,923,923,923,2,5,1,264,143000
682,5,1932,2000,793,848,1520,1,6,1,281,159434
683,6,1996,1997,1291,1291,1291,1,6,2,431,173000
684,9,2002,2002,1626,1668,1668,2,7,3,702,285000
685,7,1998,1998,1195,1195,1839,2,7,2,486,221000
686,7,1984,1984,1190,1190,2090,2,6,2,577,207500
687,7,2007,2007,874,874,1761,3,7,2,578,227875
688,7,2004,2004,551,551,1102,2,4,2,480,148800
689,8,2007,2007,1419,1419,1419,2,7,2,567,392000
690,6,2005,2006,1362,1362,1362,2,6,2,460,194700
691,6,2004,2004,848,848,848,1,3,2,420,141000
692,10,1994,1995,2444,2444,4316,3,10,3,832,755000
693,7,1989,1990,1210,1238,2519,2,9,2,628,335000
694,5,1921,1968,1073,1073,1073,1,4,1,326,108480
695,5,1936,1950,927,1067,1539,1,5,2,576,141500
696,6,1987,1987,1112,1137,1137,2,5,2,551,176000
697,5,1921,1950,616,616,616,1,4,1,205,89000
698,5,1952,1952,980,1148,1148,1,6,1,308,123500
699,5,1965,2009,894,894,894,1,5,1,336,138500
700,7,2004,2004,1391,1391,1391,2,5,2,530,196000
701,8,2002,2002,1800,1800,1800,2,7,3,765,312500
702,7,1969,1969,1164,1164,1164,1,6,2,528,140000
703,8,2006,2006,1234,1264,2576,2,10,3,666,361919
704,5,1900,1996,360,1032,1812,2,8,2,672,140000
705,7,2004,2005,1473,1484,1484,2,7,2,606,213000
707,7,1971,2002,1643,1824,1824,2,5,2,739,302000
708,8,2006,2006,1324,1324,1324,2,6,2,550,254000
709,7,2007,2007,728,728,1456,2,8,2,400,179540
710,5,1966,1966,876,904,904,1,6,1,408,109900
712,4,1900,1950,859,859,1178,1,7,1,384,102776
713,8,1988,1989,1228,1228,1228,2,5,2,472,189000
714,4,1970,1970,960,960,960,1,6,2,576,129000
715,6,1976,2005,725,725,1479,2,6,2,475,130500
716,6,1974,1974,1064,1350,1350,2,7,2,478,165000
717,7,1890,1998,718,1576,2554,1,8,2,704,159500
718,5,1973,2000,1176,1178,1178,1,5,2,439,157000
719,7,1993,1994,1311,1325,2418,2,9,3,983,341000
720,5,1969,1969,971,971,971,1,5,1,300,128500
721,8,1985,1985,1742,1742,1742,2,5,2,564,275000
722,6,2004,2004,848,848,848,1,3,2,420,143000
723,4,1970,1970,864,864,864,1,5,2,463,124500
724,4,1954,1972,941,997,1470,2,7,1,548,135000
725,9,2007,2008,1698,1698,1698,2,8,3,768,320000
726,4,1970,1970,864,864,864,1,5,2,660,120500
727,6,1988,2007,880,1680,1680,2,5,2,540,222000
728,7,2007,2007,1232,1232,1232,2,6,2,632,194500
729,5,1958,1958,1584,1776,1776,2,9,3,888,110000
730,4,1925,1950,780,848,1208,1,5,2,539,103000
731,8,1995,1996,1595,1616,1616,2,5,2,608,236500
732,7,2003,2003,868,1146,1146,2,6,2,438,187500
733,7,1998,1999,1153,1153,2031,2,8,2,541,222500
734,5,1961,1983,864,1144,1144,1,6,1,264,131400
735,5,1968,1968,948,948,948,1,6,1,300,108000
736,7,1914,1970,880,880,1768,1,6,2,320,163000
738,8,2005,2005,893,901,1801,2,8,3,800,239900
740,7,2004,2004,864,864,1728,2,7,2,572,190000
741,5,1910,2002,264,768,1432,2,7,2,360,132000
742,6,1961,1996,912,912,912,1,5,1,288,142000
743,7,2000,2001,1349,1349,1349,2,6,2,539,179000
744,5,1963,1999,520,1464,1464,2,6,2,480,175000
745,8,1993,1993,1337,1337,1337,2,5,2,462,180000
746,8,1976,1996,1142,1175,2715,3,11,2,831,299800
747,7,2000,2000,952,980,2256,2,8,2,554,236000
748,7,1880,2003,1240,1320,2640,1,8,4,864,265979
749,7,1996,1996,1720,1720,1720,2,7,2,527,260400
752,7,2003,2003,660,660,1320,2,6,2,400,162000
753,6,1997,1997,1479,1494,1494,2,6,2,576,217000
754,8,2005,2005,1030,1038,2098,2,8,3,878,275500
755,6,1969,2005,1026,1026,1026,1,5,2,440,156000
756,6,1999,1999,729,742,1471,2,6,2,440,172500
757,8,2007,2007,866,866,1768,2,7,2,578,212000
758,6,1978,1978,672,672,1386,2,6,2,440,158900
759,7,1999,1999,744,757,1501,2,6,2,440,179400
760,8,1995,1995,1318,1328,2531,2,9,3,752,290000
761,6,1959,1959,864,864,864,1,5,1,300,127500
762,5,1924,1950,1145,1301,1301,1,5,2,440,100000
763,7,2009,2009,756,764,1547,2,7,2,614,215200
764,8,1999,1999,1252,1268,2365,2,8,3,856,337000
765,8,1995,1996,1494,1494,1494,1,6,2,481,270000
766,9,2008,2008,1498,1506,1506,2,6,2,592,264132
767,7,1988,1988,980,980,1714,2,7,2,496,196500
768,6,1940,1985,983,983,1750,2,7,1,423,160000
769,7,2004,2005,1860,1836,1836,2,8,2,484,216837
770,8,2003,2003,1650,1690,3279,3,12,3,841,538000
771,5,1982,1982,858,858,858,1,5,2,576,134900
772,4,1951,1951,836,1220,1220,1,6,2,396,102000
773,6,1976,1976,1029,1117,1117,1,6,2,672,107000
774,5,1958,1958,912,912,912,1,5,1,275,114500
775,8,2006,2006,1935,1973,1973,2,9,3,895,395000
776,6,1998,1998,1204,1204,1204,2,5,2,412,162000
777,7,2005,2006,1614,1614,1614,2,7,3,865,221500
778,5,1974,1974,864,894,894,1,5,2,440,142500
780,6,1977,1977,975,1004,1004,1,4,2,504,135000
781,7,1995,1996,1237,1253,1253,2,6,2,402,176000
782,6,1992,1992,761,810,1603,2,7,2,484,175900
783,7,2001,2002,1413,1430,1430,2,6,2,605,187100
784,5,1978,1978,1097,1110,1110,1,4,2,602,165500
786,6,1967,1967,1372,1342,1342,2,7,2,457,161500
787,5,1915,1950,686,966,1652,2,7,1,416,139000
788,7,2004,2004,956,956,2084,2,8,2,618,233000
789,4,1954,2000,901,901,901,1,4,1,281,107900
790,6,1966,2007,832,976,2087,2,9,2,444,187500
791,7,2005,2006,1145,1145,1145,2,5,2,397,160200
792,6,1976,1976,1029,1062,1062,1,5,2,539,146800
793,7,1996,1997,1117,1127,2013,2,8,2,455,269790
794,8,2007,2007,1496,1496,1496,2,7,2,474,225000
795,7,1994,1996,712,1086,1895,2,7,2,409,194500
796,6,1980,1981,650,888,1564,2,7,2,476,171000
797,6,1977,1977,660,1285,1285,1,7,2,528,143500
798,5,1953,1953,773,773,773,1,4,1,240,110000
799,9,2008,2009,1926,1966,3140,3,11,3,820,485000
800,5,1937,1950,731,981,1768,1,7,1,240,175000
801,6,1997,1997,616,616,1688,2,8,2,603,200000
802,4,1916,1990,1196,1196,1196,1,5,2,440,109900
803,7,2005,2005,728,728,1456,2,7,2,410,189000
804,9,2008,2009,1734,1734,2822,3,12,3,1020,582933
805,5,1954,1954,936,1128,1128,1,5,1,286,118000
806,7,2008,2008,1417,1428,1428,2,6,2,554,227680
807,5,1967,1967,980,980,980,2,6,1,384,135500
808,5,1923,2004,1324,1072,1576,1,6,2,528,223500
809,5,1966,1966,1024,1086,1086,1,6,2,484,159950
810,5,1898,1965,849,1075,2138,2,11,2,360,106000
811,6,1974,1999,1040,1309,1309,1,5,2,484,181000
812,6,2004,2004,848,848,848,1,4,2,420,144500
813,5,1952,1952,540,1044,1044,1,4,2,504,55993
814,6,1958,1958,1442,1442,1442,1,7,1,301,157900
815,5,1918,1950,686,686,1250,1,7,1,280,116000
816,7,1998,1998,1649,1661,1661,2,6,2,598,224900
817,5,1954,1954,1008,1008,1008,1,4,1,275,137000
818,8,2002,2002,1568,1689,1689,2,7,3,857,271000
819,6,1971,1971,1010,1052,1052,1,6,2,440,155000
820,7,2009,2010,1358,1358,1358,2,6,2,484,224000
821,7,2003,2003,798,798,1640,2,6,2,595,183000
822,4,1953,1953,936,936,936,1,4,2,576,93000
823,7,2003,2003,847,847,1733,2,7,2,433,225000
824,6,1940,1950,778,944,1489,2,7,1,240,139500
825,8,2006,2006,1489,1489,1489,2,7,2,776,232600
826,10,2007,2008,2078,2084,2084,2,7,3,1220,385000
828,7,2001,2001,1454,1434,1434,2,6,2,527,189000
829,5,1967,1967,1013,1160,2126,2,7,2,538,185000
830,7,2005,2005,600,520,1223,2,4,2,480,147400
831,6,1957,1957,1392,1392,1392,1,6,2,458,166000
832,7,2005,2005,600,520,1200,2,4,2,480,151000
833,7,2003,2003,941,941,1829,2,7,2,613,237000
834,6,1964,1964,1516,1516,1516,1,6,2,472,167000
835,5,1961,1961,1144,1144,1144,1,6,2,456,139950
836,4,1950,1995,1067,1067,1067,2,4,2,436,128000
837,5,1948,1973,1559,1559,1559,1,5,2,812,153500
838,6,1973,1973,483,483,987,1,5,1,264,100000
839,5,1995,2006,1099,1099,1099,1,6,1,352,144000
840,5,1946,1995,768,768,1200,1,6,1,240,130500
841,6,1925,1950,672,810,1482,2,7,1,400,140000
842,5,1904,2002,650,958,1539,2,8,2,686,157500
843,6,1966,1966,1127,1165,1165,1,6,2,490,174900
845,5,1915,1950,876,876,1416,1,7,3,720,153900
846,5,1975,1981,1390,1701,1701,2,6,2,611,171000
847,7,1993,1993,740,1006,1775,2,7,2,425,213000
848,5,1972,1972,864,864,864,1,5,1,338,133500
849,6,1908,1997,907,1307,2358,3,10,2,360,240000
850,6,1976,1994,528,1094,1855,2,7,2,512,187000
851,6,2003,2003,848,848,848,1,3,2,420,131500
852,8,2003,2003,1273,1456,1456,2,7,2,400,215000
853,7,1941,1950,918,918,1646,2,7,1,240,164000
854,6,1964,1964,1127,1445,1445,1,7,2,645,158000
855,5,1955,1974,1763,1779,1779,1,6,2,454,170000
856,5,1962,2010,1040,1040,1040,1,6,1,260,127000
857,6,1978,1978,940,1026,1026,1,5,2,576,147000
858,6,1994,1995,702,702,1481,2,6,2,343,174000
859,7,1976,1976,1090,1370,1370,2,6,2,479,152000
860,6,1968,1984,1054,1512,2654,2,9,2,619,250000
861,7,1918,1998,912,912,1426,1,7,1,216,189950
862,5,1965,1965,1039,1039,1039,1,6,2,504,131500
863,6,1984,1985,1040,1097,1097,2,6,2,480,152000
864,5,1959,1959,1148,1148,1148,1,6,1,672,132500
865,7,2007,2008,1372,1372,1372,2,6,2,529,250580
866,5,1970,1970,1002,1002,1002,1,5,2,902,148500
867,8,2006,2007,1638,1646,1646,2,6,3,870,248900
868,4,1961,1961,1040,1120,1120,1,5,2,544,129000
870,7,1993,1994,1050,1062,1949,2,8,2,574,236000
871,5,1962,1962,894,894,894,1,5,1,308,109500
872,6,1998,1998,804,804,1682,2,7,2,523,200500
873,5,1953,1996,105,910,910,1,5,2,414,116000
874,5,1949,1950,832,1036,1268,1,6,1,288,133000
875,5,1941,1950,676,676,1131,1,5,1,200,66500
876,8,2007,2007,1184,1184,2610,2,11,2,550,303477
877,4,1963,1963,1064,1040,1040,1,5,2,648,132250
878,9,2004,2005,1462,1462,2224,2,10,3,738,350000
879,5,1961,1995,1109,1155,1155,1,6,2,576,148000
880,5,1978,2005,864,864,864,1,6,1,336,136500
881,5,2005,2006,1090,1090,1090,1,5,2,450,157000
882,7,1990,1991,1156,1187,1717,2,7,2,400,187500
883,6,1992,1993,808,808,1593,2,7,2,389,178000
884,4,1912,1950,795,954,2230,1,10,1,440,118500
885,5,1967,1967,892,892,892,1,5,1,288,100000
886,9,1999,2000,1698,1709,1709,2,5,2,506,328900
887,5,1959,2005,1626,1712,1712,2,8,2,588,145000
888,5,1955,1955,816,872,1393,1,8,1,300,135500
889,8,1970,1970,2217,2217,2217,2,8,2,621,268000
890,6,1953,1953,1505,1505,1505,1,6,2,505,149500
891,5,1949,2006,672,672,924,1,6,2,576,122900
892,6,1978,1978,918,918,1683,2,7,2,440,172500
893,6,1963,2003,1059,1068,1068,1,6,1,264,154500
894,5,1954,1954,1383,1383,1383,1,6,1,354,165000
896,6,1963,1963,780,983,1796,1,8,2,483,140000
897,4,1936,1950,951,951,951,1,6,1,327,106500
899,9,2009,2010,2330,2364,2364,2,11,3,820,611657
900,5,1961,1994,912,1236,1236,1,6,1,288,135000
901,4,1971,1971,858,858,858,1,4,1,684,110000
902,5,1957,2000,992,1306,1306,1,5,1,756,153000
903,7,2003,2003,783,807,1509,2,8,2,393,180000
904,7,2006,2006,1670,1670,1670,2,7,3,690,240000
905,5,1967,1967,876,902,902,1,6,1,288,125500
906,5,1954,1954,1056,1063,1063,1,6,1,280,128000
907,8,2006,2006,1623,1636,1636,2,8,3,865,255000
908,7,1936,1987,1017,1020,2057,1,6,1,180,250000
909,5,1983,1983,864,902,902,1,5,2,484,131000
910,6,2005,2005,742,742,1484,2,8,2,390,174000
911,5,1960,1960,1105,1105,2274,2,12,2,480,154300
912,5,1977,1989,1268,1268,1268,1,5,1,252,143500
913,5,1925,1950,768,1015,1015,1,6,1,450,88000
914,5,1949,1950,1001,1001,2002,2,8,3,871,145000
915,6,2009,2009,612,612,1224,2,4,2,528,173733
916,4,1970,1970,546,546,1092,1,6,1,286,75000
917,2,1949,1950,480,480,480,0,4,1,308,35311
918,4,1956,1956,1134,1229,1229,1,6,1,284,135000
919,7,1991,1991,1104,912,2127,2,8,3,833,238000
920,6,1958,2002,1184,1414,1414,1,6,2,601,176500
921,6,1994,1994,928,936,1721,2,7,2,471,201000
923,6,2005,2006,1316,1316,1316,2,6,2,397,169990
924,6,1993,1994,1604,1617,1617,2,5,2,533,193000
925,6,1980,1980,1686,1686,1686,2,7,2,612,207500
926,5,1977,1977,1126,1126,1126,2,6,2,540,175000
927,8,2003,2004,1181,1234,2374,2,10,3,656,285000
928,7,1968,1968,832,1098,1978,2,9,2,486,176000
929,8,2001,2001,1753,1788,1788,2,7,2,522,236500
930,7,1997,1997,964,993,2236,2,8,2,642,222000
931,8,2007,2007,1466,1466,1466,2,7,3,610,201000
932,5,1965,1965,925,925,925,1,5,1,429,117500
933,9,2006,2006,1905,1905,1905,2,8,3,788,320000
934,7,2004,2004,1500,1500,1500,2,6,2,570,190000
935,7,1960,2007,585,2069,2069,2,9,2,505,242000
936,4,1926,1953,600,747,747,1,5,2,528,79900
938,7,2005,2005,1113,1113,1971,2,8,2,689,253000
939,7,2006,2006,1391,1391,1962,2,7,3,868,239799
940,7,1940,1950,1032,1207,2403,2,10,1,349,244400
941,6,1976,1976,1728,1728,1728,2,8,2,574,150900
942,7,1999,1999,992,1022,2060,2,8,2,390,214000
944,5,1967,1967,1632,1632,1632,2,8,2,576,143000
945,6,1958,1958,819,1344,1344,1,7,2,525,137500
946,5,1890,1996,1088,1188,1869,1,7,2,456,124900
947,5,1959,1959,1144,1144,1144,1,6,1,796,143000
948,8,2002,2003,1616,1629,1629,2,9,3,808,270000
950,6,1972,2006,1161,1381,1381,1,5,2,676,197500
951,5,1950,2002,864,864,864,1,5,2,720,129000
952,5,1965,1965,828,965,965,1,6,1,300,119900
953,5,1972,2003,768,768,768,1,5,1,396,133900
954,5,1969,1969,784,1168,1968,2,7,2,530,172000
956,6,1946,1950,979,979,1958,2,8,2,492,145000
957,6,1980,1980,561,561,1229,1,5,2,462,124000
958,5,1962,1962,1057,1057,1057,1,6,2,576,132000
959,7,2003,2003,1337,1337,1337,2,6,2,531,185000
960,7,1999,1999,696,696,1416,2,6,2,484,155000
962,6,1977,1995,1330,1542,2872,2,11,2,619,272000
963,6,1976,1976,804,804,1548,2,7,2,440,155000
964,9,2007,2007,1800,1800,1800,2,7,2,702,239000
965,7,2002,2003,817,824,1894,2,8,2,510,214900
966,6,2005,2007,783,783,1484,2,8,2,393,178900
967,5,1940,1950,728,976,1308,1,7,1,256,160000
968,5,1955,1955,1098,1098,1098,1,6,1,260,135000
970,6,1958,1958,588,1095,1095,1,6,1,264,140000
972,7,2003,2004,764,764,1626,2,6,2,474,173000
973,6,1979,1979,918,918,918,2,5,1,264,99500
975,7,1910,1993,728,1136,2019,1,8,2,532,167500
976,7,2000,2000,673,673,1382,2,6,2,490,165000
979,4,1954,1954,894,894,894,1,5,2,400,110000
980,5,1963,1963,1121,1121,1121,1,5,2,480,139000
981,7,1961,2007,944,999,999,1,6,2,588,178400
982,8,1998,1999,1225,1276,2612,2,8,3,676,336000
983,7,2007,2007,1266,1266,1266,2,6,2,388,159895
984,8,2002,2002,1128,1149,2290,2,9,2,779,255900
986,5,1950,1950,1164,1164,1164,1,5,1,240,125000
987,6,1910,2003,485,1001,1635,1,5,1,255,117000
988,9,2009,2010,1930,1940,1940,2,8,3,606,395192
989,6,1976,1976,848,1118,2030,2,8,2,551,195000
990,7,2006,2006,770,778,1576,2,6,2,614,197000
991,8,1997,1998,1396,1407,2392,2,7,3,870,348000
992,8,1882,1986,916,916,1742,1,8,2,424,168000
993,6,1964,1993,822,1020,1851,2,7,2,440,187000
994,6,2005,2006,750,750,1500,2,6,2,564,173900
995,10,2006,2007,1700,1718,1718,2,7,3,786,337500
996,4,1946,1950,747,774,1230,1,5,1,305,121600
997,5,1961,1961,1050,1050,1050,1,6,1,368,136500
998,6,1970,1970,1442,1442,1442,2,6,2,615,185000
999,3,1922,1950,1007,1077,1077,1,6,1,210,91000
1000,7,2006,2006,1187,1208,1208,2,6,2,632,206000
1002,5,1920,1950,691,691,691,1,4,1,216,86000
1003,8,2006,2006,1574,1574,1574,2,7,3,824,232000
1004,5,1976,1976,1680,1680,1680,2,8,2,528,136905
1005,7,2005,2006,1346,1504,1504,2,7,2,457,181000
1006,5,1977,1977,985,985,985,2,6,1,328,149900
1007,6,1970,1970,1657,1657,1657,2,7,2,484,163500
1008,4,1970,1970,546,546,1092,1,6,1,286,88000
1009,7,2004,2005,1710,1710,1710,2,7,2,550,240000
1011,5,1948,1950,720,720,1271,2,7,1,312,135000
1013,6,1923,1996,602,900,1502,1,7,1,180,165000
1014,5,1910,2006,1022,1022,1022,1,4,1,280,85000
1015,6,1948,1950,1082,1082,1082,1,5,1,240,119200
1016,8,2001,2001,810,810,1665,2,6,2,528,227000
1017,7,1996,1996,1504,1504,1504,2,6,2,478,203000
1018,8,1984,1984,1220,1360,1360,1,4,2,565,187500
1019,7,1991,1992,384,802,1472,2,7,2,402,160000
1020,7,2005,2005,1362,1506,1506,2,6,2,440,213490
1021,4,2005,2005,1132,1132,1132,1,5,2,451,176000
1022,7,2006,2006,1199,1220,1220,2,6,2,632,194000
1023,5,1930,1950,912,912,1248,1,6,1,160,87000
1024,7,2005,2006,1346,1504,1504,2,7,2,437,191000
1025,8,1976,1976,1565,2898,2898,2,10,2,665,287000
1026,5,1972,1972,882,882,882,1,5,2,461,112500
1027,5,1960,1960,1268,1264,1264,1,6,2,461,167500
1028,8,2007,2008,1638,1646,1646,2,7,3,800,293077
1029,5,1941,1950,768,968,1376,1,6,1,240,105000
1030,6,1972,1972,672,672,1218,1,7,1,264,118000
1032,7,1920,1970,824,1687,3082,2,12,2,672,197000
1033,8,1993,1993,1338,1352,2520,2,10,3,796,310000
1034,7,2002,2002,1654,1654,1654,2,6,3,900,230000
1035,5,1938,1950,920,954,954,1,5,1,240,119750
1037,9,2007,2008,1620,1620,1620,2,6,3,912,315500
1038,8,2001,2002,1055,1055,2263,2,7,2,905,287000
1040,4,1970,1970,630,630,630,1,3,1,286,80000
1041,5,1957,2000,1134,1803,1803,2,8,2,484,155000
1042,6,1966,2000,800,800,1632,1,7,2,484,173000
1043,6,2005,2005,1306,1306,1306,2,5,2,624,196000
1044,7,1990,1990,1475,1532,2329,2,10,2,514,262280
